feature,type,top_trial_appearances,appearance_rate
popups_percent,batter,18,0.20689655172413793
hard_hit_percent,batter,18,0.20689655172413793
flyballs_percent,batter,17,0.19540229885057472
flareburner_percent,batter,16,0.1839080459770115
meatball_swing_percent,batter,16,0.1839080459770115
iz_contact_percent,batter,16,0.1839080459770115
launch_angle_avg,batter,16,0.1839080459770115
oz_contact_percent,pitcher,16,0.1839080459770115
oz_contact_percent,batter,15,0.1724137931034483
xobp,batter,15,0.1724137931034483
oz_swing_percent,batter,14,0.16091954022988506
xbacon,batter,14,0.16091954022988506
meatball_percent,pitcher,14,0.16091954022988506
straightaway_percent,batter,13,0.14942528735632185
opposite_percent,batter,13,0.14942528735632185
wobadiff,pitcher,13,0.14942528735632185
z_swing_miss_percent,batter,13,0.14942528735632185
exit_velocity_avg,batter,13,0.14942528735632185
avg_best_speed,batter,12,0.13793103448275862
solidcontact_percent,batter,12,0.13793103448275862
poorlyweak_percent,batter,12,0.13793103448275862
whiff_percent,batter,12,0.13793103448275862
avg_hyper_speed,batter,11,0.12643678160919541
xbadiff,batter,11,0.12643678160919541
xwoba,batter,11,0.12643678160919541
xba,batter,11,0.12643678160919541
meatball_percent,batter,11,0.12643678160919541
z_swing_percent,batter,11,0.12643678160919541
wobadiff,batter,11,0.12643678160919541
f_strike_percent,batter,11,0.12643678160919541
launch_angle_avg,pitcher,11,0.12643678160919541
poorlyunder_percent,batter,11,0.12643678160919541
sweet_spot_percent,batter,10,0.11494252873563218
bacon,batter,10,0.11494252873563218
avg_best_speed,pitcher,10,0.11494252873563218
iz_contact_percent,pitcher,10,0.11494252873563218
bb_percent,pitcher,10,0.11494252873563218
cu_avg_speed,pitcher,10,0.11494252873563218
swing_percent,batter,10,0.11494252873563218
arm_angle,pitcher,10,0.11494252873563218
xwobacon,pitcher,10,0.11494252873563218
xslg,pitcher,10,0.11494252873563218
oz_swing_miss_percent,batter,9,0.10344827586206896
wobacon,batter,9,0.10344827586206896
barrel_batted_rate,batter,9,0.10344827586206896
xslg,batter,9,0.10344827586206896
sprint_speed,batter,9,0.10344827586206896
xslgdiff,batter,9,0.10344827586206896
whiff_percent,pitcher,9,0.10344827586206896
xera,pitcher,9,0.10344827586206896
solidcontact_percent,pitcher,9,0.10344827586206896
oz_swing_miss_percent,pitcher,9,0.10344827586206896
wobacon,pitcher,9,0.10344827586206896
xobp,pitcher,9,0.10344827586206896
groundballs_percent,batter,8,0.09195402298850575
hp_to_1b,batter,8,0.09195402298850575
xwobacon,batter,8,0.09195402298850575
edge_percent,batter,8,0.09195402298850575
ff_avg_spin,pitcher,8,0.09195402298850575
cu_avg_spin,pitcher,8,0.09195402298850575
oz_swing_percent,pitcher,8,0.09195402298850575
ff_avg_break_z,pitcher,8,0.09195402298850575
linedrives_percent,pitcher,8,0.09195402298850575
groundballs_percent,pitcher,8,0.09195402298850575
xslgdiff,pitcher,8,0.09195402298850575
exit_velocity_avg,pitcher,8,0.09195402298850575
xwoba,pitcher,8,0.09195402298850575
edge_percent,pitcher,8,0.09195402298850575
hard_hit_percent,pitcher,8,0.09195402298850575
z_swing_miss_percent,pitcher,7,0.08045977011494253
xba,pitcher,7,0.08045977011494253
pull_percent,batter,7,0.08045977011494253
ff_avg_break_x,pitcher,7,0.08045977011494253
ff_avg_speed,pitcher,7,0.08045977011494253
popups_percent,pitcher,6,0.06896551724137931
flyballs_percent,pitcher,6,0.06896551724137931
sweet_spot_percent,pitcher,6,0.06896551724137931
linedrives_percent,batter,6,0.06896551724137931
xiso,batter,6,0.06896551724137931
xbadiff,pitcher,6,0.06896551724137931
k_percent,pitcher,6,0.06896551724137931
bb_percent,batter,5,0.05747126436781609
swing_percent,pitcher,5,0.05747126436781609
z_swing_percent,pitcher,5,0.05747126436781609
f_strike_percent,pitcher,5,0.05747126436781609
poorlytopped_percent,batter,4,0.04597701149425287
k_percent,batter,4,0.04597701149425287
avg_hyper_speed,pitcher,4,0.04597701149425287
barrel_batted_rate,pitcher,3,0.034482758620689655
xiso,pitcher,2,0.022988505747126436
